,XJT US Equity
2007-02-07,77
2007-02-08,76.5
2007-02-09,75
2007-02-12,75.1
2007-02-13,75.4
2007-02-14,76.2
2007-02-15,77.6
2007-02-16,77.1
2007-02-20,78.2
2007-02-21,78.3
2007-02-22,78
2007-02-23,77.5
2007-02-26,78.1
2007-02-27,72.5
2007-02-28,72.3
2007-03-01,72.9
2007-03-02,70
2007-03-05,66.8
2007-03-06,64.2
2007-03-07,61.4
2007-03-08,61.5
2007-03-09,61.7
2007-03-12,61.3
2007-03-13,58.9
2007-03-14,59.9
2007-03-15,60.4
2007-03-16,60.3
2007-03-19,61.3
2007-03-20,62
2007-03-21,63.6
2007-03-22,62.1
2007-03-23,61.8
2007-03-26,59.7
2007-03-27,58.2
2007-03-28,59
2007-03-29,59.3
2007-03-30,58.4
2007-04-02,58.3
2007-04-03,60.5
2007-04-04,59.4
2007-04-05,60.7
2007-04-09,59.9
2007-04-10,60.7
2007-04-11,59.1
2007-04-12,59.4
2007-04-13,59.8
2007-04-16,59
2007-04-17,59.5
2007-04-18,59.7
2007-04-19,58.9
2007-04-20,58.3
2007-04-23,58.1
2007-04-24,58.3
2007-04-25,60
2007-04-26,60.8
2007-04-27,59.9
2007-04-30,59.7
2007-05-01,58.1
2007-05-02,60.5
2007-05-03,59.7
2007-05-04,60.9
2007-05-07,61.2
2007-05-08,60.5
2007-05-09,63.7
2007-05-10,63
2007-05-11,63.1
2007-05-14,63.1
2007-05-15,61
2007-05-16,62.2
2007-05-17,61.4
2007-05-18,62.2
2007-05-21,62.6
2007-05-22,61.9
2007-05-23,61.2
2007-05-24,60.9
2007-05-25,61.2
2007-05-29,62.7
2007-05-30,63.8
2007-05-31,61.9
2007-06-01,61.9
2007-06-04,60.8
2007-06-05,59.6
2007-06-06,59.2
2007-06-07,58
2007-06-08,60.7
2007-06-11,60
